Station,Date,Time,File.Name,Latitude_DD,Longitude_DD,CTD.serial,Bottom.Depth,pressure_db,Temperature_ITS90_DegC,Salinity_PSU,Density_sigma.theta.kg.m.3,Oxygen_GarciaGordon_umol.kg,Oxygen.Saturation_perc,Nitrogen.saturation..mg.l.,PAR.Irradiance,Fluorescence_mg_m3,Turbidity,Beam_attenuation,Beam_transmission
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,1.024,3.8306,31.7301,25.202,323.98115,82.016,16.62112,71.021,0.4288,NA,0.2768,93.3149
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,2.019,3.8391,31.7236,25.1959,323.92997,84.358,16.61871,53.29,0.4102,NA,0.2788,93.2686
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,3.029,3.8405,31.7219,25.1945,323.92303,90.059,16.61839,44.516,0.3949,NA,0.2789,93.2639
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,4.036,3.8401,31.7222,25.1948,323.92548,92.759,16.6185,39.208,0.4148,NA,0.279,93.2626
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,5.051,3.8402,31.7221,25.1947,323.92497,92.683,16.61848,36.06,0.4353,NA,0.2777,93.2945
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,6.053,3.8393,31.7225,25.1951,323.93068,92.089,16.61875,32.619,0.453,NA,0.2785,93.2744
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,7.067,3.8397,31.7233,25.1956,323.92606,91.735,16.61853,30.887,0.4805,NA,0.2769,93.3105
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,8.078,3.8408,31.7229,25.1952,323.91837,91.617,16.61816,29.021,0.4685,NA,0.2777,93.2941
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,9.087,3.8412,31.7231,25.1954,323.91417,91.418,16.61796,26.647,0.4762,NA,0.2781,93.2839
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,10.092,3.8421,31.723,25.1952,323.90784,91.345,16.61766,24.419,0.4843,NA,0.2801,93.2361
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,11.107,3.845,31.7263,25.1975,323.87694,91.417,16.61618,22.439,0.5005,NA,0.2799,93.2416
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,12.118,3.8497,31.7248,25.1959,323.84361,91.393,16.6146,20.244,0.5035,NA,0.2803,93.2318
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,13.117,3.8502,31.7224,25.194,323.84513,91.311,16.61468,18.328,0.5167,NA,0.2824,93.1835
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,14.131,3.8493,31.7235,25.195,323.85003,91.278,16.61491,16.878,0.5091,NA,0.28,93.2412
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,15.152,3.854,31.7319,25.2012,323.79212,91.204,16.61213,15.125,0.5003,NA,0.2835,93.1597
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,16.143,3.8606,31.7311,25.2,323.74166,91.272,16.60973,13.664,0.4953,NA,0.2849,93.1262
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,17.164,3.8679,31.7313,25.1994,323.68379,91.312,16.60698,12.32,0.4937,NA,0.2836,93.1549
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,18.173,3.8722,31.7312,25.199,323.65076,91.264,16.60541,11.112,0.4856,NA,0.2848,93.1289
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,19.176,3.8727,31.7269,25.1955,323.65698,91.294,16.60572,9.9778,0.4812,NA,0.2848,93.1271
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,20.191,3.8671,31.7272,25.1963,323.70031,91.274,16.60778,8.997,0.4885,NA,0.282,93.1909
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,21.196,3.8712,31.7378,25.2044,323.64144,91.229,16.60494,8.0763,0.4889,NA,0.2836,93.1548
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,22.211,3.878,31.7307,25.1981,323.60598,91.307,16.60328,7.2619,0.4937,NA,0.2834,93.1592
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,23.215,3.8786,31.7333,25.2001,323.59449,91.178,16.60272,6.5331,0.4816,NA,0.286,93.1
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,24.23,3.8792,31.7346,25.201,323.58675,91.265,16.60235,5.8533,0.4891,NA,0.2863,93.0933
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,25.239,3.8807,31.7347,25.201,323.57484,91.25,16.60178,5.2607,0.4835,NA,0.2891,93.028
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,26.246,3.8818,31.7347,25.201,323.56609,91.198,16.60137,4.7302,0.5001,NA,0.2886,93.039
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,27.256,3.8825,31.7342,25.2004,323.56179,91.146,16.60116,4.2444,0.4708,NA,0.2912,92.9806
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,28.267,3.8843,31.7349,25.2008,323.54566,91.233,16.6004,3.8154,0.4821,NA,0.2897,93.0127
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,29.274,3.8843,31.7347,25.2006,323.54613,91.242,16.60042,3.4212,0.4749,NA,0.2891,93.0287
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,30.285,3.8857,31.7365,25.202,323.53125,91.203,16.59971,3.0622,0.463,NA,0.2877,93.0604
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,31.295,3.8887,31.7367,25.2019,323.50674,91.253,16.59854,2.7511,0.4694,NA,0.2879,93.0555
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,32.309,3.8905,31.7368,25.2018,323.49237,91.18,16.59785,2.4666,0.4616,NA,0.2878,93.0571
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,33.307,3.892,31.7362,25.2011,323.48178,91.202,16.59735,2.2238,0.498,NA,0.2875,93.0663
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,34.33,3.8916,31.7364,25.2013,323.48493,91.223,16.59751,2.0098,0.463,NA,0.2856,93.109
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,35.329,3.8937,31.7397,25.2038,323.45982,91.139,16.59629,1.7989,0.4601,NA,0.2885,93.0418
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,36.345,3.8987,31.7386,25.2024,323.42411,91.226,16.5946,1.6193,0.4684,NA,0.2868,93.0813
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,37.353,3.9002,31.7363,25.2005,323.41704,91.232,16.59427,1.456,0.4699,NA,0.2849,93.126
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,38.362,3.8959,31.7411,25.2047,323.43935,91.244,16.59532,1.3043,0.4856,NA,0.2873,93.0686
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,39.37,3.9148,31.757,25.2156,323.25176,91.336,16.58633,1.1758,0.4681,NA,0.2856,93.1089
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,40.38,3.9333,31.7493,25.2077,323.12503,91.431,16.58034,1.0575,0.4654,NA,0.2802,93.2338
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,41.396,3.9401,31.7498,25.2074,323.07062,91.354,16.57775,0.95431,0.4567,NA,0.2787,93.2705
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,42.398,3.943,31.7458,25.204,323.05781,91.303,16.57715,0.85838,0.4588,NA,0.2776,93.2966
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,43.406,3.953,31.7642,25.2177,322.93468,91.297,16.57122,0.7784,0.4598,NA,0.2745,93.3673
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,44.428,3.9764,31.7537,25.2071,322.77644,91.452,16.56374,0.70002,0.4556,NA,0.2681,93.5179
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,45.424,3.9809,31.7615,25.2128,322.7225,91.4,16.56115,0.63214,0.4753,NA,0.2687,93.505
AlongBay_2,2020-02-06,13:20,2020_02-06_alongbay_kb02_cast012_4141,59.5184333333333,-151.72535, 4141,122,46.443,3.997,31.7645,25.2138,322.58867,91.394,16.55477,0.57059,0.4621,NA,0.2658,93.5699
