Station,Date,Time,Latitude_DD,Longitude_DD,File.Name,CTD.serial,Bottom.Depth,pressure_db,Temperature_ITS90_DegC,Salinity_PSU,Density_sigma.theta.kg.m.3,Oxygen_umol.kg,Oxygen.Saturation_perc,Nitrogen.saturation..mg.l.,PAR.Irradiance,Fluorescence_mg_m3,Turbidity,Beam_attenuation,Beam_transmission
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,1.014,4.28,31.6493,25.0943,311.648,97.189,16.46362,68.324,0.1462,0.3541,0.3541,91.5271
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,2.015,4.2817,31.6486,25.0936,311.85,97.255,16.46304,62.259,0.1432,0.3545,0.3545,91.5202
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,3.044,4.2843,31.6542,25.0978,311.999,97.311,16.46145,60.24,0.1366,0.353,0.353,91.5523
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,4.035,4.2838,31.6562,25.0995,311.968,97.302,16.46139,60.29,0.1393,0.3528,0.3528,91.5574
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,5.037,4.2827,31.6619,25.104,312.087,97.341,16.46113,62.529,0.1485,0.3522,0.3522,91.5717
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,6.075,4.2813,31.667,25.1082,312.116,97.351,16.46106,63.265,0.1464,0.3503,0.3503,91.6148
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,7.059,4.2778,31.677,25.1165,312.026,97.322,16.46112,55.308,0.1555,0.3518,0.3518,91.5821
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,8.114,4.2748,31.6908,25.1278,311.703,97.224,16.46061,49.602,0.1718,0.353,0.353,91.5547
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,9.08,4.2785,31.6964,25.1319,311.713,97.24,16.45861,45.409,0.1929,0.3552,0.3552,91.5024
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,10.08,4.2817,31.703,25.1368,311.705,97.249,16.45663,40.508,0.2138,0.3597,0.3597,91.3999
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,11.123,4.2864,31.7052,25.1381,311.722,97.268,16.45462,35.628,0.2303,0.3534,0.3534,91.5438
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,12.099,4.2904,31.7161,25.1464,311.55,97.232,16.45187,31.488,0.2504,0.3625,0.3625,91.3364
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,13.128,4.2958,31.714,25.1442,311.299,97.164,16.45014,28.478,0.2609,0.3616,0.3616,91.3577
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,14.137,4.2967,31.7164,25.146,311.077,97.099,16.44951,25.104,0.2797,0.3634,0.3634,91.3147
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,15.138,4.2974,31.7175,25.1468,311.37,97.193,16.44911,22.192,0.2821,0.3629,0.3629,91.3265
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,16.158,4.2982,31.7207,25.1493,311.097,97.111,16.44846,19.695,0.2897,0.3644,0.3644,91.2918
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,17.161,4.3007,31.721,25.1493,311.072,97.11,16.4475,17.658,0.283,0.3647,0.3647,91.2869
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,18.167,4.3023,31.7224,25.1502,311.173,97.146,16.44674,15.627,0.2845,0.3655,0.3655,91.2669
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,19.184,4.304,31.7221,25.1499,310.856,97.051,16.44614,13.853,0.2946,0.3625,0.3625,91.3342
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,20.187,4.3062,31.7292,25.1553,310.977,97.099,16.44448,12.333,0.2811,0.3652,0.3652,91.273
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,21.2,4.3129,31.7305,25.1557,310.827,97.069,16.44186,11.028,0.2829,0.366,0.366,91.2552
AlongBay_2,2022-01-31,13:28,59.518,-151.728,2022_01-31_ab_s02_cast052_4141, 4141,125,22.204,4.3157,31.7301,25.155,310.921,97.104,16.44091,9.7634,0.2823,0.3669,0.3669,91.2351
