"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"kachdnut  ","P",01/16/2020 14:10,0,1,1         ,1         ,"",0.0357,<1> (CHB) ,0.0321,<1> (CHB) ,"","","","",0.1972,<1> (CHB) ,0.36,<0>  ,
"kachdnut  ","P",01/16/2020 14:15,0,1,1         ,2         ,"",0.0335,<1> (CHB) ,0.0162,<1> (CHB) ,"","","","",0.1975,<1> (CHB) ,0.3,<0>  ,
"kachdnut  ","P",02/25/2020 13:17,0,1,1         ,1         ,"",0.0293,<0>  ,0.2325,<0>  ,"","","","",0.0175,<0>  ,3.0,<0>  ,
"kachdnut  ","P",02/25/2020 13:22,0,1,1         ,2         ,"",0.0292,<0>  ,0.231,<0>  ,"","","","",0.0191,<0>  ,3.77,<0>  ,
"kachdnut  ","P",03/19/2020 13:10,0,1,1         ,1         ,"",0.033,<1> (CHB) ,0.2222,<1> (CHB) ,"","","","",0.0241,<1> (CHB) ,0.86,<1> (CHB) ,
"kachdnut  ","P",03/19/2020 13:15,0,1,1         ,2         ,"",0.0338,<1> (CHB) ,0.2219,<1> (CHB) ,"","","","",0.0269,<1> (CHB) ,3.55,<1> (CHB) ,
"kachdnut  ","P",05/12/2020 13:08,0,1,1         ,1         ,"",0.0199,<1> (CHB) ,0.0615,<1> (CHB) ,"","","","",0.0357,<1> (CHB) ,18.43,<1> [SRD] ,
"kachdnut  ","P",05/12/2020 13:13,0,1,1         ,2         ,"",0.0144,<1> (CHB) ,0.0506,<1> (CHB) ,"","","","",0.0221,<1> (CHB) ,1.75,<1> [SRD] ,
"kachdnut  ","P",06/24/2020 14:26,0,1,1         ,1         ,"",0.0297,<1> [SRD] ,0.0476,<0>  ,"","","","",0.0574,<0>  ,4.17,<0>  ,
"kachdnut  ","P",06/24/2020 14:31,0,1,1         ,2         ,"",0.0085,<1> [SRD] ,0.0188,<0>  ,"","","","",0.0414,<0>  ,4.17,<0>  ,
"kachdnut  ","P",07/14/2020 13:44,0,1,1         ,1         ,"",0.0262,<1> (CHB) ,0.0359,<1> (CHB) ,"","","","",0.0403,<1> (CHB) ,3.0,<0>  ,
"kachdnut  ","P",07/14/2020 13:49,0,1,1         ,2         ,"",0.0303,<1> (CHB) ,0.0508,<1> (CHB) ,"","","","",0.0439,<1> (CHB) ,3.08,<0>  ,
"kachdnut  ","P",08/21/2020 13:45,0,1,1         ,1         ,"",0.0184,<1> (CHB) ,0.0462,<1> (CHB) ,"","","","",0.0164,<1> (CHB) ,2.64,<0>  ,
"kachdnut  ","P",08/21/2020 13:50,0,1,1         ,2         ,"",0.0193,<1> (CHB) ,0.0414,<1> (CHB) ,"","","","",0.0166,<1> (CHB) ,2.31,<0>  ,
"kachdnut  ","P",09/16/2020 20:20,0,1,1         ,1         ,"",0.0193,<1> (CHB) ,0.0298,<1> (CHB) ,"","","","",0.0171,<1> (CHB) ,4.29,<0>  ,
"kachdnut  ","P",09/16/2020 20:25,0,1,1         ,2         ,"",0.0188,<1> (CHB) ,0.0315,<1> (CHB) ,"","","","",0.0205,<1> (CHB) ,3.14,<0>  ,
"kachdnut  ","P",10/20/2020 13:25,0,1,1         ,1         ,"",0.0245,<0>  ,0.092,<0>  ,"","","","",0.0355,<0>  ,2.11,<0>  ,
"kachdnut  ","P",10/20/2020 13:30,0,1,1         ,2         ,"",0.0228,<0>  ,0.0869,<0>  ,"","","","",0.0251,<0>  ,1.78,<0>  ,
"kachdnut  ","P",11/18/2020 14:16,0,1,1         ,1         ,"",0.0294,<0>  ,0.162,<0>  ,"","","","",0.0406,<0>  ,1.86,<0>  ,
"kachdnut  ","P",11/18/2020 14:21,0,1,1         ,2         ,"",0.0295,<0>  ,0.1646,<0>  ,"","","","",0.0383,<0>  ,1.42,<0>  ,
"kachdnut  ","P",12/10/2020 14:00,0,1,1         ,1         ,"",0.0316,<1> (CHB) ,0.1769,<1> (CHB) ,"","","","",0.0102,<1> (CHB) ,1.46,<0>  ,
"kachdnut  ","P",12/10/2020 14:05,0,1,1         ,2         ,"",0.0308,<1> (CHB) ,0.1813,<1> (CHB) ,"","","","",0.0055,<-4> [SBL] ,2.31,<0>  ,

