"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"kachdwq   ","P",01/01/2022 0:00,0,0,"",1.7,<0> ,48.60,<0> ,30.5,<0> ,98.0,<0> ,11.1,<0> ,14.05,<0> ,14.36,<3> ,"",<-1> ,"","",7.9,<0> ,2,<0> ,0.3,<0> ,
"kachdwq   ","P",01/01/2022 0:15,0,0,"",1.8,<0> ,48.59,<0> ,30.6,<0> ,97.9,<0> ,11.0,<0> ,14.22,<0> ,14.53,<3> ,"",<-1> ,"","",7.9,<0> ,6,<0> ,0.3,<0> ,
"kachdwq   ","P",01/01/2022 0:30,0,0,"",1.9,<0> ,48.63,<0> ,30.6,<0> ,98.0,<0> ,11.0,<0> ,14.37,<0> ,14.68,<3> ,"",<-1> ,"","",7.9,<0> ,2,<0> ,0.3,<0> ,
"kachdwq   ","P",01/01/2022 0:45,0,0,"",2.0,<0> ,48.73,<0> ,30.7,<0> ,98.0,<0> ,11.0,<0> ,14.48,<0> ,14.79,<3> ,"",<-1> ,"","",7.9,<0> ,2,<0> ,0.3,<0> ,
"kachdwq   ","P",01/01/2022 1:00,0,0,"",2.0,<0> ,48.73,<0> ,30.7,<0> ,97.9,<0> ,11.0,<0> ,14.56,<0> ,14.87,<3> ,"",<-1> ,"","",7.9,<0> ,2,<0> ,0.4,<0> ,
"kachdwq   ","P",01/01/2022 1:15,0,0,"",2.0,<0> ,48.72,<0> ,30.7,<0> ,98.0,<0> ,11.0,<0> ,14.59,<0> ,14.90,<3> ,"",<-1> ,"","",7.9,<0> ,2,<0> ,0.3,<0> ,
"kachdwq   ","P",01/01/2022 1:30,0,0,"",2.1,<0> ,48.74,<0> ,30.7,<0> ,98.0,<0> ,11.0,<0> ,14.58,<0> ,14.90,<3> ,"",<-1> ,"","",7.9,<0> ,12,<0> ,0.5,<0> ,
"kachdwq   ","P",01/01/2022 1:45,0,0,"",2.1,<0> ,48.78,<0> ,30.7,<0> ,98.0,<0> ,11.0,<0> ,14.53,<0> ,14.84,<3> ,"",<-1> ,"","",7.9,<0> ,6,<0> ,0.4,<0> ,
"kachdwq   ","P",01/01/2022 2:00,0,0,"",2.1,<0> ,48.80,<0> ,30.8,<0> ,98.0,<0> ,10.9,<0> ,14.42,<0> ,14.73,<3> ,"",<-1> ,"","",7.9,<0> ,4,<0> ,0.4,<0> ,
"kachdwq   ","P",01/01/2022 2:15,0,0,"",2.1,<0> ,48.79,<0> ,30.8,<0> ,98.0,<0> ,10.9,<0> ,14.26,<0> ,14.58,<3> ,"",<-1> ,"","",7.9,<0> ,4,<0> ,0.3,<0> ,
"kachdwq   ","P",01/01/2022 2:30,0,0,"",2.1,<0> ,48.78,<0> ,30.7,<0> ,98.0,<0> ,11.0,<0> ,14.03,<0> ,14.35,<3> ,"",<-1> ,"","",7.9,<0> ,3,<0> ,0.4,<0> ,
"kachdwq   ","P",01/01/2022 2:45,0,0,"",2.1,<0> ,48.79,<0> ,30.7,<0> ,98.0,<0> ,11.0,<0> ,13.79,<0> ,14.11,<3> ,"",<-1> ,"","",7.9,<0> ,9,<0> ,0.3,<0> ,
"kachdwq   ","P",01/01/2022 3:00,0,0,"",2.1,<0> ,48.80,<0> ,30.8,<0> ,97.9,<0> ,10.9,<0> ,13.51,<0> ,13.83,<3> ,"",<-1> ,"","",7.9,<0> ,5,<0> ,0.4,<0> ,
"kachdwq   ","P",01/01/2022 3:15,0,0,"",2.1,<0> ,48.77,<0> ,30.7,<0> ,97.8,<0> ,10.9,<0> ,13.24,<0> ,13.56,<3> ,"",<-1> ,"","",7.9,<0> ,10,<0> ,0.7,<0> ,
"kachdwq   ","P",01/01/2022 3:30,0,0,"",2.1,<0> ,48.78,<0> ,30.7,<0> ,97.7,<0> ,10.9,<0> ,12.95,<0> ,13.27,<3> ,"",<-1> ,"","",7.9,<0> ,5,<0> ,0.4,<0> ,
"kachdwq   ","P",01/01/2022 3:45,0,0,"",2.0,<0> ,48.75,<0> ,30.7,<0> ,97.5,<0> ,10.9,<0> ,12.64,<0> ,12.96,<3> ,"",<-1> ,"","",7.9,<0> ,9,<0> ,2.4,<0> ,
"kachdwq   ","P",01/01/2022 4:00,0,0,"",2.0,<0> ,48.78,<0> ,30.7,<0> ,97.7,<0> ,10.9,<0> ,12.34,<0> ,12.66,<3> ,"",<-1> ,"","",7.9,<0> ,15,<0> ,0.4,<0> ,
"kachdwq   ","P",01/01/2022 4:15,0,0,"",1.6,<0> ,48.40,<0> ,30.4,<0> ,96.8,<0> ,11.0,<0> ,12.02,<0> ,12.34,<3> ,"",<-1> ,"","",7.9,<0> ,7,<0> ,0.4,<0> ,
"kachdwq   ","P",01/01/2022 4:30,0,0,"",1.3,<0> ,48.47,<0> ,30.4,<0> ,96.9,<0> ,11.1,<0> ,11.71,<0> ,12.03,<3> ,"",<-1> ,"","",7.9,<0> ,6,<0> ,0.4,<0> ,
"kachdwq   ","P",01/01/2022 4:45,0,0,"",1.3,<0> ,48.46,<0> ,30.4,<0> ,96.5,<0> ,11.0,<0> ,11.44,<0> ,11.77,<3> ,"",<-1> ,"","",7.9,<0> ,92,<0> ,0.4,<0> ,
"kachdwq   ","P",01/01/2022 5:00,0,0,"",1.3,<0> ,48.26,<0> ,30.2,<0> ,96.2,<0> ,11.0,<0> ,11.13,<0> ,11.46,<3> ,"",<-1> ,"","",7.9,<0> ,283,<0> ,0.6,<0> ,
"kachdwq   ","P",01/01/2022 5:15,0,0,"",1.3,<0> ,41.66,<0> ,25.7,<0> ,96.4,<0> ,11.4,<0> ,10.86,<0> ,11.19,<3> ,"",<-1> ,"","",7.9,<0> ,386,<0> ,0.6,<0> ,
"kachdwq   ","P",01/01/2022 5:30,0,0,"",1.2,<0> ,48.37,<0> ,30.3,<0> ,97.3,<0> ,11.2,<0> ,10.50,<0> ,10.82,<3> ,"",<-1> ,"","",7.9,<0> ,100,<0> ,0.3,<0> ,
"kachdwq   ","P",01/01/2022 5:45,0,0,"",1.1,<0> ,48.36,<0> ,30.3,<0> ,97.4,<0> ,11.2,<0> ,10.26,<0> ,10.58,<3> ,"",<-1> ,"","",7.9,<0> ,16,<0> ,1.4,<0> ,
"kachdwq   ","P",01/01/2022 6:00,0,0,"",1.1,<0> ,48.36,<0> ,30.3,<0> ,97.4,<0> ,11.2,<0> ,10.07,<0> ,10.39,<3> ,"",<-1> ,"","",7.9,<0> ,11,<0> ,2.8,<0> ,
"kachdwq   ","P",01/01/2022 6:15,0,0,"",1.1,<0> ,48.35,<0> ,30.2,<0> ,97.2,<0> ,11.2,<0> ,9.93,<0> ,10.24,<3> ,"",<-1> ,"","",7.9,<0> ,38,<0> ,5.9,<0> ,
"kachdwq   ","P",01/01/2022 6:30,0,0,"",1.0,<0> ,48.36,<0> ,30.2,<0> ,97.6,<0> ,11.3,<0> ,9.85,<0> ,10.16,<3> ,"",<-1> ,"","",7.9,<0> ,57,<0> ,11.5,<0> ,
"kachdwq   ","P",01/01/2022 6:45,0,0,"",0.8,<0> ,48.40,<0> ,30.2,<0> ,97.1,<0> ,11.3,<0> ,9.84,<0> ,10.15,<3> ,"",<-1> ,"","",7.9,<0> ,32,<0> ,6.6,<0> ,
