"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"kachhnut  ","P",01/13/2015 11:00,1,1,2         ,1         ,"",0.0344,<0>  ,0.0544,<0>  ,"","","","",0.1809,<0>  ,0.18,<0>  ,
"kachhnut  ","P",01/13/2015 13:30,1,1,2         ,1         ,"",0.0365,<0>  ,0.0621,<0>  ,"","","","",0.1782,<0>  ,0.16,<0>  ,
"kachhnut  ","P",01/13/2015 16:00,1,1,2         ,1         ,"",0.0336,<0>  ,0.0451,<0>  ,"","","","",0.1491,<0>  ,0.15,<0>  ,
"kachhnut  ","P",01/13/2015 18:30,1,1,2         ,1         ,"",0.0317,<0>  ,0.049,<0>  ,"","","","",0.1726,<0>  ,0.17,<0>  ,
"kachhnut  ","P",01/13/2015 21:00,1,1,2         ,1         ,"",0.0325,<0>  ,0.0374,<0>  ,"","","","",0.1587,<0>  ,0.16,<0>  ,
"kachhnut  ","P",01/13/2015 23:30,1,1,2         ,1         ,"",0.0273,<0>  ,0.0165,<0>  ,"","","","",0.1258,<0>  ,0.16,<0>  ,
"kachhnut  ","P",01/14/2015 2:00,1,1,2         ,1         ,"",0.0325,<0>  ,0.0508,<0>  ,"","","","",0.1592,<0>  ,0.16,<0>  ,
"kachhnut  ","P",01/14/2015 4:30,1,1,2         ,1         ,"",0.035,<0>  ,0.054,<0>  ,"","","","",0.1791,<0>  ,0.16,<0>  ,
"kachhnut  ","P",01/14/2015 7:00,1,1,2         ,1         ,"",0.0299,<0>  ,0.0332,<0>  ,"","","","",0.137,<0>  ,0.13,<0>  ,
"kachhnut  ","P",01/14/2015 9:30,1,1,2         ,1         ,"",0.0333,<0>  ,0.0389,<0>  ,"","","","",0.1694,<0>  ,0.17,<0>  ,
"kachhnut  ","P",01/14/2015 12:00,1,1,2         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"","","","","",<-2> [GDM] ,"",<-2> [GDM] ,
"kachhnut  ","P",02/03/2015 13:46,1,1,2         ,1         ,"",0.0379,<0>  ,0.0336,<0>  ,"","","","",0.2246,<0>  ,0.18,<0>  ,
"kachhnut  ","P",02/03/2015 16:16,1,1,2         ,1         ,"",0.0349,<0>  ,0.0245,<0>  ,"","","","",0.1593,<0>  ,0.21,<0>  ,
