"StationCode","isSWMP","DatetimeStamp","Historical","ProvisionalPlus","Frequency","F_Record","ATemp","F_ATemp","RH","F_RH","BP","F_BP","WSpd","F_WSpd","MaxWSpd","F_MaxWSpd","MaxWSpdT","Wdir","F_Wdir","SDWDir","F_SDWDir","TotPAR","F_TotPAR","TotPrcp","F_TotPrcp","TotSoRad","F_TotSoRad",
"kachomet  ","P",01/01/2022 0:00,0,0,15,"",-3.4,<0> ,83,<0> ,983,<0> ,3.2,<0> ,5.0,<0> ,"",340,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,7,<0> ,
"kachomet  ","P",01/01/2022 0:15,0,0,15,"",-3.4,<0> ,84,<0> ,983,<0> ,3.4,<0> ,4.8,<0> ,"",319,<0> ,14,<0> ,0.0,<0> ,0.0,<0> ,7,<0> ,
"kachomet  ","P",01/01/2022 0:30,0,0,15,"",-4.4,<0> ,84,<0> ,983,<0> ,4.9,<0> ,6.1,<0> ,"",304,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,6,<0> ,
"kachomet  ","P",01/01/2022 0:45,0,0,15,"",-4.5,<0> ,84,<0> ,983,<0> ,4.2,<0> ,5.3,<0> ,"",294,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,5,<0> ,
"kachomet  ","P",01/01/2022 1:00,0,0,15,"",-4.6,<0> ,83,<0> ,983,<0> ,4.3,<0> ,5.7,<0> ,"",306,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,5,<0> ,
"kachomet  ","P",01/01/2022 1:15,0,0,15,"",-4.5,<0> ,82,<0> ,983,<0> ,4.6,<0> ,6.5,<0> ,"",317,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,5,<0> ,
"kachomet  ","P",01/01/2022 1:30,0,0,15,"",-4.5,<0> ,83,<0> ,982,<0> ,4.5,<0> ,5.9,<0> ,"",336,<0> ,18,<0> ,0.0,<0> ,0.0,<0> ,5,<0> ,
"kachomet  ","P",01/01/2022 1:45,0,0,15,"",-4.1,<0> ,82,<0> ,983,<0> ,4.8,<0> ,6.9,<0> ,"",351,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,5,<0> ,
"kachomet  ","P",01/01/2022 2:00,0,0,15,"",-4.0,<0> ,80,<0> ,983,<0> ,4.5,<0> ,6.3,<0> ,"",354,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,5,<0> ,
"kachomet  ","P",01/01/2022 2:15,0,0,15,"",-3.9,<0> ,78,<0> ,982,<0> ,4.2,<0> ,5.8,<0> ,"",350,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,5,<0> ,
