"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"kachsnut  ","P",01/18/2017 11:08,0,1,1         ,1         ,"",0.0294,<0>  ,0.0305,<0>  ,"","","","",0.1609,<0>  ,0.4403,<0>  ,
"kachsnut  ","P",01/18/2017 11:13,0,1,1         ,2         ,"",0.0294,<0>  ,0.024,<0>  ,"","","","",0.155,<0>  ,0.6734,<0>  ,
"kachsnut  ","P",02/13/2017 14:15,0,1,1         ,1         ,"",0.0254,<0>  ,0.0094,<0>  ,"","","","",0.1602,<0>  ,1.2358,<0>  ,
"kachsnut  ","P",02/13/2017 14:20,0,1,1         ,2         ,"",0.0284,<0>  ,0.0165,<0>  ,"","","","",0.1758,<0>  ,1.3172,<0>  ,
"kachsnut  ","P",03/15/2017 14:07,0,1,1         ,1         ,"",0.0128,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.0627,<-3> [SRD] ,1.5725,<0>  ,
"kachsnut  ","P",03/15/2017 14:12,0,1,1         ,2         ,"",0.0268,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.1631,<0>  ,1.5059,<0>  ,
"kachsnut  ","P",04/13/2017 15:00,0,1,1         ,1         ,"",0.012,<0>  ,0.0062,<0>  ,"","","","",0.0595,<0>  ,7.437,<0>  ,
"kachsnut  ","P",04/13/2017 15:05,0,1,1         ,2         ,"",0.0113,<0>  ,0.0067,<0>  ,"","","","",0.0551,<0>  ,9.102,<0>  ,
"kachsnut  ","P",05/17/2017 11:35,0,1,1         ,1         ,"",0.0049,<0>  ,0.0069,<0>  ,"","","","",0.0047,<-4> [SBL] ,3.3966,<0>  ,
"kachsnut  ","P",05/17/2017 11:40,0,1,1         ,2         ,"",0.0030,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.0047,<-4> [SBL] ,3.4928,<0>  ,
"kachsnut  ","P",06/14/2017 12:36,0,1,1         ,1         ,"",0.0023,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.0047,<-4> [SBL] ,10.73,<0>  ,
"kachsnut  ","P",06/14/2017 12:41,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.0047,<-4> [SBL] ,8.473,<0>  ,
"kachsnut  ","P",07/11/2017 13:50,0,1,1         ,1         ,"",0.0178,<0>  ,0.0071,<0>  ,"","","","",0.0109,<0>  ,5.661,<0>  ,
"kachsnut  ","P",07/11/2017 13:55,0,1,1         ,2         ,"",0.014,<0>  ,0.0178,<0>  ,"","","","",0.0324,<0>  ,5.587,<0>  ,
"kachsnut  ","P",08/11/2017 9:43,0,1,1         ,1         ,"",0.2762,<-3> [SRD] ,0.013,<0>  ,"","","","",0.0047,<-4> [SBL] ,2.8009,<0>  ,
"kachsnut  ","P",08/11/2017 9:48,0,1,1         ,2         ,"",0.0358,<0>  ,0.0058,<0>  ,"","","","",0.0047,<-4> [SBL] ,1.9425,<0>  ,
"kachsnut  ","P",09/13/2017 14:35,0,1,1         ,1         ,"",0.0154,<0>  ,0.0076,<0>  ,"","","","",0.0317,<0>  ,3.6038,<0>  ,
"kachsnut  ","P",09/13/2017 14:40,0,1,1         ,2         ,"",0.0169,<0>  ,0.0068,<0>  ,"","","","",0.034,<0>  ,3.6519,<0>  ,
"kachsnut  ","P",10/20/2017 10:10,0,1,1         ,1         ,"",0.0256,<0>  ,0.0067,<0>  ,"","","","",0.1076,<0>  ,1.5651,<0>  ,
"kachsnut  ","P",11/08/2017 15:15,0,1,1         ,1         ,"",0.0305,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.1574,<0>  ,1.4245,<0>  ,
"kachsnut  ","P",11/08/2017 15:20,0,1,1         ,2         ,"",0.0309,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.1556,<0>  ,1.1914,<0>  ,
"kachsnut  ","P",12/12/2017 13:08,0,1,1         ,1         ,"",0.0293,<0>  ,0.0127,<0>  ,"","","","",0.1585,<0>  ,0.9139,<0>  ,
"kachsnut  ","P",12/12/2017 13:13,0,1,1         ,2         ,"",0.0285,<0>  ,0.0064,<0>  ,"","","","",0.1546,<0>  ,0.4329,<0>  ,

