"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"kacsdnut  ","P",01/15/2020 11:40,0,1,1         ,1         ,"",0.0358,<1> (CHB) ,0.0142,<1> (CHB) ,"","","","",0.2006,<1> (CHB) ,0.6,<0>  ,
"kacsdnut  ","P",01/15/2020 11:45,0,1,1         ,2         ,"",0.0359,<1> (CHB) ,0.0126,<1> (CHB) ,"","","","",0.2485,<1> (CHB) ,0.26,<0>  ,
"kacsdnut  ","P",02/27/2020 11:08,0,1,1         ,1         ,"",0.034,<0>  ,0.222,<0>  ,"","","","",0.0099,<0>  ,1.17,<0>  ,
"kacsdnut  ","P",02/27/2020 11:13,0,1,1         ,2         ,"",0.0342,<0>  ,0.2187,<0>  ,"","","","",0.0141,<0>  ,0.96,<0>  ,
"kacsdnut  ","P",07/12/2020 10:43,0,1,1         ,1         ,"",0.0222,<1> (CHB) ,0.0616,<1> (CHB) ,"","","","",0.0331,<1> (CHB) ,4.35,<1> [SRD] ,
"kacsdnut  ","P",07/12/2020 10:48,0,1,1         ,2         ,"",0.0218,<1> (CHB) ,0.0472,<1> (CHB) ,"","","","",0.0167,<1> (CHB) ,7.27,<1> [SRD] ,
"kacsdnut  ","P",08/21/2020 13:47,0,1,1         ,1         ,"",0.0156,<1> (CHB) ,0.0634,<1> (CHB) ,"","","","",0.0117,<1> (CHB) ,3.09,<0>  ,
"kacsdnut  ","P",08/21/2020 13:52,0,1,1         ,2         ,"",0.0149,<1> (CHB) ,0.065,<1> (CHB) ,"","","","",0.0103,<1> (CHB) ,2.8,<0>  ,
"kacsdnut  ","P",09/16/2020 11:55,0,1,1         ,1         ,"",0.0169,<1> (CHB) ,0.0634,<1> (CHB) ,"","","","",0.0107,<1> (CHB) ,4.11,<0>  ,
"kacsdnut  ","P",09/16/2020 12:00,0,1,1         ,2         ,"",0.018,<1> (CHB) ,0.0631,<1> (CHB) ,"","","","",0.0199,<1> (CHB) ,4.29,<0>  ,
"kacsdnut  ","P",10/19/2020 11:28,0,1,1         ,1         ,"",0.0241,<0>  ,0.1206,<0>  ,"","","","",0.0228,<0>  ,1.66,<0>  ,
"kacsdnut  ","P",10/19/2020 11:33,0,1,1         ,2         ,"",0.0234,<0>  ,0.1136,<0>  ,"","","","",0.0125,<0>  ,1.7,<0>  ,
"kacsdnut  ","P",11/17/2020 11:20,0,1,1         ,1         ,"",0.0269,<0>  ,0.1519,<0>  ,"","","","",0.0223,<0>  ,1.02,<0>  ,
"kacsdnut  ","P",11/17/2020 11:25,0,1,1         ,2         ,"",0.0286,<0>  ,0.1576,<0>  ,"","","","",0.0748,<0>  ,1.19,<0>  ,
"kacsdnut  ","P",12/11/2020 12:30,0,1,1         ,1         ,"",0.0249,<1> (CHB) ,0.1722,<1> (CHB) ,"","","","",0.0208,<1> (CHB) ,0.36,<0>  ,
"kacsdnut  ","P",12/11/2020 12:35,0,1,1         ,2         ,"",0.0256,<1> (CHB) ,0.1709,<1> (CHB) ,"","","","",0.0069,<1> (CHB) ,0.37,<0>  ,

