"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"kacssnut  ","P",01/20/2016 12:06,1,1,1         ,1         ,"",0.0339,<1> (CHB) ,0.0217,<1> (CHB) ,"","","","",0.2052,<1> (CHB) ,0.12,<0>  ,
"kacssnut  ","P",01/20/2016 12:11,1,1,1         ,2         ,"",0.033,<1> (CHB) ,0.0118,<1> (CHB) ,"","","","",0.1893,<1> (CHB) ,0.08,<0>  ,
"kacssnut  ","P",02/22/2016 12:02,1,1,1         ,1         ,"",0.0329,<1> (CHB) ,0.0175,<1> (CHB) ,"","","","",0.1915,<1> (CHB) ,0.2,<0>  ,
"kacssnut  ","P",02/22/2016 12:07,1,1,1         ,2         ,"",0.0324,<1> (CHB) ,0.0185,<1> (CHB) ,"","","","",0.1876,<1> (CHB) ,0.12,<0>  ,
"kacssnut  ","P",03/21/2016 11:58,1,1,1         ,1         ,"",0.033,<1> (CHB) ,0.0123,<1> (CHB) ,"","","","",0.1705,<1> (CHB) ,0.37,<0>  ,
"kacssnut  ","P",03/21/2016 12:03,1,1,1         ,2         ,"",0.0339,<1> (CHB) ,0.0114,<1> (CHB) ,"","","","",0.1827,<1> (CHB) ,0.26,<0>  ,
"kacssnut  ","P",04/21/2016 10:01,1,1,1         ,1         ,"",0.0192,<1> [SRD] ,0.015,<0>  ,"","","","",0.1418,<0>  ,1.45,<0>  ,
"kacssnut  ","P",04/21/2016 10:06,1,1,1         ,2         ,"",0.0323,<1> [SRD] ,0.0223,<0>  ,"","","","",0.1407,<0>  ,2.74,<0>  ,
"kacssnut  ","P",05/17/2016 13:45,1,1,1         ,1         ,"",0.0213,<0>  ,0.0148,<0>  ,"","","","",0.1016,<0>  ,1.18,<0>  ,
"kacssnut  ","P",05/17/2016 13:50,1,1,1         ,2         ,"",0.0204,<0>  ,0.0193,<0>  ,"","","","",0.0983,<0>  ,0.99,<0>  ,
"kacssnut  ","P",06/16/2016 9:54,1,1,1         ,1         ,"",0.0082,<0>  ,0.0122,<0>  ,"","","","",0.0238,<0>  ,3.92,<0>  ,
"kacssnut  ","P",06/16/2016 9:59,1,1,1         ,2         ,"",0.0079,<0>  ,0.0107,<0>  ,"","","","",0.0118,<0>  ,4.74,<0>  ,
"kacssnut  ","P",07/20/2016 11:10,1,1,1         ,1         ,"",0.0141,<1> (CHB) ,0.0056,<-4> [SBL] (CHB) ,"","","","",0.0047,<-4> [SBL] (CHB) ,3.48,<0>  ,
"kacssnut  ","P",07/20/2016 11:15,1,1,1         ,2         ,"",0.0129,<1> (CHB) ,0.0402,<1> [SRD] (CHB) ,"","","","",0.0131,<1> (CHB) ,3.77,<0>  ,
"kacssnut  ","P",08/17/2016 10:05,1,1,1         ,1         ,"",0.0163,<0>  ,0.0319,<0>  ,"","","","",0.0147,<0>  ,1.76,<0>  ,
"kacssnut  ","P",08/17/2016 10:10,1,1,1         ,2         ,"",0.0151,<0>  ,0.0335,<0>  ,"","","","",0.0177,<0>  ,2.21,<0>  ,
"kacssnut  ","P",09/14/2016 10:30,1,1,1         ,1         ,"",0.0134,<0>  ,0.0193,<0>  ,"","","","",0.0103,<0>  ,4.7,<1> [SRD] ,
"kacssnut  ","P",09/14/2016 10:35,1,1,1         ,2         ,"",0.0132,<0>  ,0.0283,<0>  ,"","","","",0.0147,<0>  ,8.51,<1> [SRD] ,
"kacssnut  ","P",10/20/2016 12:41,1,1,1         ,1         ,"",0.0225,<0>  ,0.0321,<0>  ,"","","","",0.0803,<0>  ,1.99,<0>  ,
"kacssnut  ","P",10/20/2016 12:46,1,1,1         ,2         ,"",0.0224,<0>  ,0.0282,<0>  ,"","","","",0.0795,<0>  ,2.22,<0>  ,
"kacssnut  ","P",11/15/2016 11:54,1,1,1         ,1         ,"",0.0173,<0>  ,0.0264,<0>  ,"","","","",0.0825,<0>  ,2.49,<0>  ,
"kacssnut  ","P",11/15/2016 11:59,1,1,1         ,2         ,"",0.0169,<0>  ,0.0218,<0>  ,"","","","",0.0839,<0>  ,1.44,<0>  ,
"kacssnut  ","P",12/13/2016 12:14,1,1,1         ,1         ,"",0.0264,<1> (CHB) ,0.0412,<1> (CHB) ,"","","","",0.1552,<1> (CHB) ,0.67,<0>  ,
"kacssnut  ","P",12/13/2016 12:19,1,1,1         ,2         ,"",0.0276,<1> (CHB) ,0.0255,<1> (CHB) ,"","","","",0.1547,<1> (CHB) ,0.61,<0>  ,

