KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FILE CREATED:,11/21/22 22:46,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,MEAN VALUE:,9.311,93.3,9.01,24.71,38.498,2.37,NaN,NA,-70.9,9.935,5.52
,,,STANDARD DEVIATION:,4.257,3.5,0.4,11.03,17.148,1.16,NaN,0.09,4.7,4.182,0.51
,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,14M101857,16E104078,16E104078,16E102264,16E102264,16E102969,21B105229,15A101374,15A101374,16E102264,15A101012
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Depth m,ODO % sat,ODO mg/L,Sal psu,SpCond mS/cm,Turbidity FNU,Wiper Position volt,pH,pH mV,Temp °C,Battery V
10/10/22,20:00:00,0,Homer Deep,0.039,98.6,9.03,0.1,0.21,1.58,NaN,7.61,-59.1,19.598,5.84
10/11/22,10:15:00,0,Homer Deep,0.143,100,9.4,0.1,0.214,1.33,1.184,7.67,-62.7,18.334,5.54
10/19/22,7:30:00,0,Homer Deep,11.138,86.9,8.21,29.81,46.26,2.09,1.197,7.86,-71.5,9.443,5.76
10/20/22,17:00:00,0,Homer Deep,10.102,91.5,8.7,29.5,45.841,1.71,1.181,7.88,-73,9.241,5.76
10/21/22,0:15:00,0,Homer Deep,12.532,90.4,8.55,29.88,46.365,0.42,1.193,7.9,-73.8,9.345,5.76
10/21/22,18:15:00,0,Homer Deep,9.387,92.9,8.89,29.49,45.86,1.39,1.191,7.89,-73.1,8.925,5.77
10/23/22,3:45:30,0,Homer Deep,11.271,94.9,9.36,28.42,44.446,4.45,1.188,7.88,-72.5,7.924,5.78
10/25/22,23:30:28,0,Homer Deep,10.607,95,9.34,28.69,44.831,2.08,1.191,7.92,-74.9,7.981,5.79
10/27/22,5:45:26,0,Homer Deep,12.133,93.4,9.12,29.24,45.581,2.45,1.194,7.91,-74.6,8.143,5.79
11/3/22,12:30:21,0,Homer Deep,12.592,89.1,8.63,30.87,47.889,3.57,1.197,7.87,-72.1,8.033,5.51
11/4/22,0:30:00,0,Homer Deep,12.272,92.9,9.38,30.32,47.332,3.65,NaN,7.87,-71.7,6.404,4.98
11/6/22,21:30:00,0,Homer Deep,9.513,93.6,9.58,30.13,47.148,3.69,NaN,7.88,-72.3,5.847,3.99
,,,,,,,,,,,,,,
,,,MEAN VALUE:,9.105,93.6,9.27,25.6,40.079,9.11,NaN,NA,-70.9,8.68,5.52
